# Osculating elements at perihelion for the §17.3b comets, from JPL Horizons.
# Ephemerides courtesy of the Jet Propulsion Laboratory, California Institute of
# Technology (US Government work, public domain).
# `tp_utc` is Horizons' Tp (a Julian date in TDB) converted by the app's own rule
# (JD 2440587.5 = Unix epoch), the same conversion time_utc below uses, so the
# TDB-UTC offset cancels out of the (t - tp) the propagator actually uses.
# Regenerate with tools/fixtures/fetch-horizons.py — do not edit by hand.
comet,name,regime,horizons_command,elements_epoch_utc,eccentricity,perihelion_distance_au,inclination_deg,ascending_node_deg,arg_perihelion_deg,tp_utc,m1,k1
encke,2P/Encke,short-period elliptical (e=0.85; also q<0.5 au),DES=2P;CAP,2023-10-22,0.8469329771283233,0.339596925978405,11.33650906051411,334.0187283435793,187.2883147078211,2023-10-22T12:40:43.977Z,15.6,4.5
neowise,C/2020 F3 (NEOWISE),near-parabolic (e=0.999),DES=C/2020 F3;CAP,2020-07-03,0.9991782081129224,0.2946512466331692,128.9375043020912,61.01042991771634,37.2786526292898,2020-07-03T16:17:36.725Z,12.1,12.25
borisov,2I/Borisov (C/2019 Q4),genuinely hyperbolic (e=3.36),DES=2I;CAP,2019-12-08,3.356479398464173,2.006523258794727,44.05261524551621,308.1477005805454,209.1242889130816,2019-12-08T13:17:14.803Z,13.8,4.5
machholz,96P/Machholz 1,deep perihelion (q=0.12 au),DES=96P;CAP,2017-10-27,0.9591612355150262,0.1239487663398483,58.13767858350626,94.25428300134381,14.79291982395155,2017-10-27T23:02:51.351Z,13.7,8.75
